fecha;humedad_rela;temp_min;temp_max;temp_ambiente;evaporacion;precipitacion;viento_km
21/10/2010;76.00;32.40;20.00;25.00;7.40;7.40;1133
22/10/2010;78.00;28.20;20.80;23.70;4.90;4.90;896
23/10/2010;81.00;26.20;20.80;23.10;3.00;3.00;582
24/10/2010;85.00;25.80;21.00;23.60;2.90;2.90;361
25/10/2010;81.00;27.80;19.60;24.00;3.30;3.30;413
26/10/2010;77.00;32.20;20.00;25.10;7.40;7.40;1017
27/10/2010;76.00;26.40;21.20;23.60;2.80;2.80;681
28/10/2010;84.00;30.00;20.20;23.30;4.00;4.00;608
29/10/2010;85.00;25.80;21.00;22.70;2.60;2.60;630
30/10/2010;79.00;29.60;20.00;23.20;5.40;5.40;1036
31/10/2010;85.00;27.20;19.80;22.90;1.60;1.60;493
1/11/2010;81.00;28.20;20.20;23.00;4.60;0.00;29.8
2/11/2010;88.00;24.80;19.40;21.60;3.20;0.00;36.9
3/11/2010;85.00;23.60;19.20;21.50;2.30;0.00;29.4
4/11/2010;78.00;30.20;19.60;23.30;4.40;0.00;25.3
5/11/2010;79.00;28.80;20.00;23.20;5.10;0.00;28.9
6/11/2010;81.00;30.20;20.00;23.80;5.30;0.00;30.7
7/11/2010;77.00;31.40;20.90;24.50;5.10;0.00;24.8
8/11/2010;79.00;30.00;19.00;24.00;7.20;0.00;31.6
9/11/2010;75.00;33.40;19.20;24.40;4.90;0.00;19.4
10/11/2010;77.00;29.40;20.60;24.50;5.30;0.00;21.7
11/11/2010;76.00;30.40;20.80;24.30;5.40;3.00;27.7
12/11/2010;84.00;29.80;20.60;23.60;3.60;0.00;20.4
13/11/2010;83.00;27.40;20.60;23.90;2.60;0.00;14
14/11/2010;85.00;28.40;22.20;24.10;3.10;0.50;28.5
15/11/2010;84.00;26.80;21.20;24.00;1.50;0.00;18
16/11/2010;85.00;26.40;21.80;23.50;1.70;0.00;11.9
17/11/2010;79.00;31.00;20.80;25.50;1.90;0.10;24
18/11/2010;81.00;28.60;21.20;24.30;3.70;0.00;26.4
19/11/2010;76.00;28.80;22.00;25.10;4.70;0.00;23.6
20/11/2010;75.00;30.60;21.20;25.00;4.50;0.00;26
21/11/2010;75.00;32.80;22.00;26.20;5.30;0.00;26.5
22/11/2010;80.00;25.20;21.80;24.00;2.60;0.00;16.9
23/11/2010;78.00;30.20;18.80;24.50;3.70;0.00;22.3
24/11/2010;81.00;28.60;21.20;24.40;4.00;0.00;14
25/11/2010;78.00;29.40;18.40;24.30;3.30;0.00;14.8
26/11/2010;82.00;28.20;20.20;24.10;2.80;0.00;16.3
27/11/2010;81.00;27.80;22.00;24.60;3.20;0.00;14.8
28/11/2010;81.00;30.20;20.40;23.90;4.50;0.00;31.9
29/11/2010;78.00;29.80;20.20;23.80;5.30;0.00;36.6
30/11/2010;77.00;30.20;21.00;24.30;4.70;0.00;23.6
1/12/2010;82.00;29.60;21.40;24.10;5.30;0.00;35.6
2/12/2010;77.00;28.20;21.00;24.10;3.40;0.00;20.7
3/12/2010;79.00;29.20;19.60;23.70;4.50;0.00;30.3
4/12/2010;81.00;25.20;21.20;23.40;2.30;0.00;13.7
5/12/2010;80.00;26.80;20.80;24.30;2.90;0.00;17.3
6/12/2010;78.00;30.20;20.20;24.00;3.60;0.00;21.5
7/12/2010;78.00;29.40;22.00;25.10;4.00;0.00;20.1
8/12/2010;77.00;28.60;22.00;24.70;3.90;0.00;17.3
9/12/2010;71.00;31.00;21.60;26.20;5.00;0.00;19.1
10/12/2010;72.00;31.20;22.20;26.40;4.90;0.00;16.9
11/12/2010;76.00;29.80;22.60;26.10;4.40;8.60;22.1
12/12/2010;89.00;26.40;22.00;23.90;2.60;0.80;18.8
13/12/2010;85.00;29.80;21.20;24.00;2.30;0.00;17.2
14/12/2010;87.00;26.00;22.90;24.30;0.70;1.90;20.8
15/12/2010;89.00;27.20;21.00;23.40;1.00;14.80;14.7
16/12/2010;91.00;28.20;22.00;24.50;1.40;28.00;20.8
17/12/2010;98.00;23.60;22.00;22.60;1.00;17.10;9.4
18/12/2010;87.00;28.20;21.40;24.40;4.10;0.00;19.5
19/12/2010;79.00;30.60;21.20;25.50;4.70;0.00;25.7
20/12/2010;90.00;26.80;22.20;24.00;0.00;9.60;16.6
21/12/2010;92.00;27.60;21.60;23.50;2.50;61.60;18.5
22/12/2010;88.00;27.20;21.40;24.10;0.50;5.00;24.3
23/12/2010;93.00;25.90;21.40;23.50;1.10;16.10;13.6
24/12/2010;85.00;29.90;21.40;25.00;2.80;0.30;19.4
25/12/2010;87.00;28.20;22.20;25.10;2.60;43.70;19
26/12/2010;92.00;26.60;21.60;23.90;0.50;12.20;12.9
27/12/2010;90.00;28.80;21.80;25.00;3.30;11.80;15.8
28/12/2010;91.00;29.00;21.80;24.70;2.20;33.10;16.4
29/12/2010;89.00;28.60;22.20;25.10;1.80;3.10;14
30/12/2010;83.00;29.60;22.00;25.50;3.90;0.50;18.9
31/12/2010;81.00;32.00;22.40;26.10;4.60;0.00;22.2
1/1/2011;85.00;29.00;22.40;25.10;2.90;0.00;356
2/1/2011;85.00;29.00;22.20;25.10;3.60;0.00;422
3/1/2011;91.00;27.60;22.00;24.00;2.80;0.00;432
4/1/2011;84.00;30.40;20.80;24.40;4.60;0.00;388
5/1/2011;82.00;31.40;21.40;25.50;3.00;0.00;365
6/1/2011;84.00;29.60;22.80;25.60;3.90;0.20;440
7/1/2011;87.00;29.60;22.20;24.70;2.80;0.10;353
8/1/2011;85.00;29.80;21.60;25.10;3.90;0.30;481
9/1/2011;84.00;28.60;21.80;24.90;4.10;0.00;350
10/1/2011;82.00;28.60;21.80;25.00;3.70;0.00;319
11/1/2011;82.00;31.00;22.80;26.40;4.50;1.80;409
12/1/2011;89.00;29.00;22.20;25.10;2.60;2.00;280
13/1/2011;81.00;31.80;22.40;26.50;6.20;8.20;547
14/1/2011;90.00;28.00;21.60;24.50;2.50;0.30;301
15/1/2011;82.00;31.20;21.80;26.40;4.30;0.20;403
16/1/2011;84.00;29.20;22.60;25.90;3.60;0.40;376
17/1/2011;88.00;31.40;22.40;26.00;3.80;5.90;546
18/1/2011;91.00;28.60;22.20;24.70;3.30;4.20;272
19/1/2011;83.00;31.80;22.60;26.30;5.60;1.90;657
20/1/2011;79.00;30.00;22.00;24.90;3.40;0.10;346
21/1/2011;78.00;32.00;22.40;26.90;5.40;0.00;446
22/1/2011;89.00;29.40;23.00;25.50;0.20;0.60;356
23/1/2011;89.00;29.40;23.00;25.10;0.80;20.10;585
24/1/2011;91.00;28.40;21.00;24.00;3.40;3.30;285
25/1/2011;93.00;28.20;22.80;24.50;1.40;25.50;353
26/1/2011;84.00;29.60;22.20;25.30;3.50;0.90;510
27/1/2011;96.00;24.60;22.20;23.10;1.30;14.60;198
28/1/2011;87.00;29.80;22.00;25.20;3.10;0.10;379
29/1/2011;91.00;27.40;22.40;24.50;0.60;9.70;174
30/1/2011;86.00;29.20;21.80;24.90;3.80;0.00;347
31/1/2011;89.00;30.20;22.00;25.20;4.60;2.20;641
1/2/2011;90.00;29.60;22.60;24.90;3.10;12.20;477
2/2/2011;89.00;29.40;22.40;25.50;3.20;10.40;423
3/2/2011;81.00;31.80;22.80;26.60;5.00;0.00;378
4/2/2011;84.00;29.20;24.00;26.40;2.70;5.70;378
5/2/2011;89.00;30.20;23.00;25.70;3.30;5.60;492
6/2/2011;91.00;26.40;23.20;23.90;1.70;9.90;358
7/2/2011;93.00;28.00;21.80;24.00;2.60;4.20;472
8/2/2011;84.00;29.80;22.00;25.30;4.00;0.00;400
9/2/2011;82.00;20.70;22.80;26.30;3.40;0.80;604
10/2/2011;93.00;30.20;23.60;25.10;0.60;3.10;462
11/2/2011;90.00;30.40;21.80;25.00;3.10;29.50;291
12/2/2011;89.00;29.40;23.20;25.80;3.00;0.00;310
13/2/2011;88.00;28.60;23.20;25.40;2.20;0.20;380
14/2/2011;85.00;30.80;23.20;27.00;4.50;2.50;501
15/2/2011;96.00;25.20;22.80;23.50;0.90;6.20;192
16/2/2011;89.00;32.30;22.00;25.50;4.10;7.90;511
17/2/2011;87.00;31.80;23.00;26.20;4.20;0.00;382
18/2/2011;82.00;31.80;23.40;27.00;5.00;0.00;457
19/2/2011;83.00;31.60;22.80;26.70;5.90;0.00;337
20/2/2011;74.00;32.20;21.20;26.70;5.00;0.10;354
21/2/2011;82.00;32.20;21.40;27.00;6.00;0.00;381
22/2/2011;79.00;32.20;20.60;25.90;7.50;0.00;533
23/2/2011;74.00;32.00;21.20;26.50;6.50;0.00;497
24/2/2011;76.00;33.00;20.00;26.30;7.30;0.00;523
25/2/2011;82.00;33.40;21.40;26.10;7.00;0.00;500
26/2/2011;84.00;31.60;23.00;26.00;6.00;0.00;415
27/2/2011;72.00;33.40;21.40;26.70;7.00;0.00;442
28/2/2011;77.00;33.00;22.20;26.80;7.80;0.00;620
1/3/2011;77.00;33.00;20.40;25.90;3.00;0.00;533
2/3/2011;76.00;31.20;21.20;26.50;5.30;0.00;495
3/3/2011;77.00;33.40;20.40;26.30;7.50;0.00;601
4/3/2011;82.00;34.20;21.80;26.20;6.30;0.30;507
5/3/2011;82.00;33.20;21.40;26.00;6.00;0.00;466
6/3/2011;80.00;33.20;21.60;26.70;6.30;0.00;373
7/3/2011;81.00;32.40;22.00;26.00;5.00;0.00;478
8/3/2011;77.00;32.00;22.40;26.50;7.00;0.00;400
9/3/2011;84.00;32.20;22.20;26.70;6.00;0.10;444
10/3/2011;78.00;33.00;22.00;26.90;5.70;0.00;514
11/3/2011;79.00;33.20;23.00;27.50;5.10;0.70;575
12/3/2011;77.00;32.00;23.80;27.40;5.40;0.00;496
13/3/2011;74.00;32.40;21.60;26.50;6.90;0.00;452
14/3/2011;78.00;33.10;21.60;26.00;3.70;9.60;485
15/3/2011;79.00;32.20;22.60;26.60;5.00;0.00;387
16/3/2011;78.00;32.00;21.20;26.30;5.90;0.00;549
17/3/2011;94.00;27.40;23.40;24.60;1.90;15.30;255
18/3/2011;87.00;30.60;22.80;26.10;7.40;8.60;390
19/3/2011;90.00;29.00;22.20;24.70;1.60;2.20;233
20/3/2011;87.00;29.20;22.40;26.10;4.00;0.00;187
21/3/2011;77.00;31.80;22.20;26.00;4.50;0.00;423
22/3/2011;78.00;32.60;21.60;26.30;6.80;0.00;464
23/3/2011;79.00;32.60;21.20;26.70;6.30;0.00;376
24/3/2011;79.00;32.60;19.80;26.50;6.00;0.00;397
25/3/2011;81.00;31.80;21.00;26.20;5.00;0.30;354
26/3/2011;82.00;31.60;22.80;27.00;5.20;0.00;316
27/3/2011;82.00;31.00;21.80;26.50;6.90;0.00;547
28/3/2011;78.00;33.00;22.40;27.00;6.60;0.00;500
29/3/2011;80.00;32.40;22.00;26.80;4.40;16.40;434
30/3/2011;84.00;31.80;22.40;26.00;5.50;0.90;313
31/3/2011;82.00;30.20;22.60;26.40;3.20;0.00;519
1/4/2011;63.00;0.00;21.40;16.10;0.00;54.00;519
2/4/2011;85.00;33.00;21.20;25.90;4.20;1.10;319
3/4/2011;82.00;31.00;22.80;26.90;4.00;11.80;342
4/4/2011;87.00;0.00;22.20;26.00;2.50;1.00;236
5/4/2011;84.00;0.00;23.00;26.70;4.50;38.70;431
6/4/2011;94.00;27.60;21.40;24.30;2.10;2.90;143
7/4/2011;84.00;30.40;22.20;26.30;3.00;0.00;259
8/4/2011;77.00;32.40;23.00;26.70;5.00;26.50;469
9/4/2011;83.00;30.20;21.00;25.50;2.70;3.40;254
10/4/2011;83.00;31.00;22.80;26.60;3.30;10.70;267
11/4/2011;93.00;32.00;22.20;26.00;5.00;0.50;417
12/4/2011;82.00;31.80;23.20;26.50;5.00;0.10;432
13/4/2011;84.00;32.20;22.00;28.30;6.30;0.00;497
14/4/2011;84.00;31.00;22.20;26.30;3.70;0.00;264
15/4/2011;85.00;31.20;21.60;26.10;3.80;0.90;366
16/4/2011;87.00;31.60;22.80;26.30;4.00;21.00;378
17/4/2011;87.00;31.80;22.80;26.10;3.70;2.90;294
18/4/2011;84.00;32.20;22.20;26.00;4.70;18.70;296
19/4/2011;87.00;32.40;23.20;26.30;4.40;8.00;394
20/4/2011;85.00;31.20;22.00;26.00;5.50;0.80;366
21/4/2011;89.00;33.60;22.20;25.60;1.40;4.70;364
22/4/2011;78.00;32.80;21.60;26.60;5.50;0.00;375
23/4/2011;83.00;32.20;22.80;26.60;5.60;0.00;314
24/4/2011;86.00;31.80;22.80;26.10;3.00;1.00;369
25/4/2011;81.00;32.80;22.00;27.00;4.50;1.50;365
26/4/2011;82.00;31.40;22.40;26.90;4.00;0.00;261
27/4/2011;90.00;29.80;23.00;25.70;2.40;0.00;172
28/4/2011;81.00;33.20;23.00;27.10;7.00;0.00;295
29/4/2011;89.00;28.20;23.00;25.30;3.00;0.00;227
30/4/2011;84.00;31.60;22.80;26.90;5.50;0.00;339
1/5/2011;80.00;33.80;23.00;27.30;3.80;0.00;411
2/5/2011;83.00;32.00;22.20;26.00;5.00;0.00;309
3/5/2011;84.00;32.40;22.60;26.80;5.00;0.00;329
4/5/2011;85.00;32.20;21.60;26.40;3.50;0.00;307
5/5/2011;82.00;32.20;21.40;26.50;5.10;0.00;356
6/5/2011;77.00;33.80;21.40;27.30;6.80;0.00;453
7/5/2011;79.00;31.60;22.20;27.40;4.00;0.00;234
8/5/2011;88.00;31.00;21.40;25.80;4.30;0.00;355
9/5/2011;82.00;33.40;20.80;27.00;4.40;0.00;388
10/5/2011;78.00;32.00;22.20;26.30;4.70;0.00;270
11/5/2011;82.00;32.00;21.00;26.70;4.00;0.00;303
12/5/2011;79.00;33.40;22.00;27.70;4.50;1.50;626
13/5/2011;84.00;31.20;22.60;26.70;4.20;0.00;273
14/5/2011;86.00;32.80;22.40;26.70;5.30;0.00;393
15/5/2011;83.00;33.40;22.40;27.10;4.80;0.00;425
16/5/2011;84.00;32.20;22.00;26.00;5.50;0.00;497
17/5/2011;85.00;29.00;21.80;24.90;4.00;0.00;345
18/5/2011;79.00;31.00;21.80;25.50;5.00;0.00;248
19/5/2011;85.00;31.80;19.40;25.50;3.70;0.00;305
20/5/2011;81.00;31.80;20.40;25.70;5.00;0.00;444
21/5/2011;79.00;32.00;22.20;26.60;5.20;0.00;397
22/5/2011;80.00;32.00;20.40;26.10;6.50;0.00;445
23/5/2011;93.00;30.80;19.20;24.00;4.00;0.00;333
24/5/2011;86.00;27.40;21.80;24.50;2.80;0.00;340
25/5/2011;83.00;33.00;21.00;25.70;5.50;0.00;329
26/5/2011;85.00;28.40;21.60;25.10;3.00;0.00;236
27/5/2011;78.00;31.00;20.80;26.00;6.60;0.00;460
28/5/2011;69.00;33.20;20.20;28.10;4.80;0.00;442
29/5/2011;85.00;30.00;22.60;26.30;5.40;0.40;229
30/5/2011;89.00;27.40;21.60;25.30;2.40;0.00;160
31/5/2011;80.00;31.20;22.00;26.00;4.10;0.00;451
1/6/2011;84.00;29.60;22.00;25.70;3.00;0.10;311
2/6/2011;85.00;32.60;22.80;26.30;3.50;0.70;380
3/6/2011;86.00;31.40;22.60;26.70;8.00;0.00;320
4/6/2011;79.00;33.80;21.20;27.10;5.00;0.00;507
5/6/2011;81.00;31.40;21.20;26.30;4.90;0.00;580
6/6/2011;85.00;28.20;22.00;25.00;2.60;0.00;340
7/6/2011;79.00;31.80;21.60;26.40;5.00;0.00;491
8/6/2011;89.00;27.60;23.00;24.70;3.00;0.00;308
9/6/2011;86.00;30.00;22.40;25.60;1.50;0.50;229
10/6/2011;80.00;29.00;21.60;25.90;2.70;0.00;346
11/6/2011;84.00;30.60;20.00;25.90;4.00;0.00;346
12/6/2011;88.00;30.40;22.60;25.80;3.80;0.00;210
13/6/2011;79.00;32.80;21.60;27.00;6.00;0.00;473
14/6/2011;81.00;30.20;22.20;26.00;4.00;0.00;393
15/6/2011;84.00;29.40;22.00;25.60;2.90;0.00;262
16/6/2011;78.00;31.00;22.20;26.10;2.60;0.80;453
17/6/2011;83.00;30.00;21.20;25.50;3.70;0.00;389
18/6/2011;79.00;33.20;22.80;26.70;6.00;0.00;429
19/6/2011;79.00;31.60;22.20;26.10;7.70;0.00;505
20/6/2011;79.00;29.60;21.60;26.00;4.00;0.00;419
21/6/2011;79.00;29.60;21.80;26.10;3.70;0.00;500
22/6/2011;79.00;31.40;22.40;26.10;4.40;0.50;359
23/6/2011;82.00;31.40;22.00;25.40;3.80;0.00;514
24/6/2011;82.00;27.40;22.00;24.80;2.40;0.00;370
25/6/2011;89.00;31.80;21.80;25.50;1.70;4.70;395
26/6/2011;87.00;31.80;22.80;26.20;7.00;0.00;432
27/6/2011;88.00;30.00;23.20;26.00;1.00;0.60;455
28/6/2011;88.00;28.80;21.80;25.50;5.00;3.00;308
29/6/2011;83.00;30.80;21.80;25.80;4.00;0.00;498
30/6/2011;86.00;27.20;22.20;24.40;2.50;0.00;257
1/7/2011;79.00;30.20;21.60;26.10;3.80;1.80;731
2/7/2011;89.00;28.20;21.40;24.90;3.50;0.00;301
3/7/2011;82.00;30.60;22.60;25.90;5.00;0.00;605
4/7/2011;95.00;26.20;21.80;24.00;1.90;0.10;250
5/7/2011;81.00;30.80;20.80;25.00;4.00;0.00;499
6/7/2011;78.00;31.80;21.80;25.50;5.60;0.00;526
7/7/2011;81.00;29.40;22.20;25.10;4.10;0.00;843
8/7/2011;80.00;28.60;21.20;24.90;4.00;0.00;325
9/7/2011;80.00;30.00;18.20;24.60;4.00;0.00;385
10/7/2011;79.00;29.80;19.00;25.30;5.10;0.00;506
11/7/2011;77.00;31.20;20.80;25.00;5.00;0.00;493
12/7/2011;80.00;28.20;20.80;25.30;3.50;0.00;496
13/7/2011;82.00;29.40;21.80;25.10;3.00;1.00;415
14/7/2011;82.00;29.60;21.20;25.30;2.70;1.30;502
15/7/2011;82.00;31.20;21.00;25.10;5.00;0.00;432
16/7/2011;77.00;32.40;20.60;26.40;4.60;1.10;514
17/7/2011;80.00;32.80;21.80;26.10;6.30;0.00;520
18/7/2011;76.00;33.40;22.40;27.00;5.50;0.00;546
19/7/2011;79.00;32.40;23.20;27.10;5.00;0.00;512
20/7/2011;84.00;30.20;23.60;26.20;3.00;0.00;630
21/7/2011;87.00;29.40;22.60;26.30;4.00;0.70;441
22/7/2011;85.00;29.80;22.00;26.50;3.30;0.00;302
23/7/2011;78.00;32.60;22.60;26.80;4.50;0.00;479
24/7/2011;81.00;30.20;20.80;25.90;5.30;0.00;322
25/7/2011;76.00;30.60;22.00;26.00;4.00;0.00;441
26/7/2011;80.00;28.60;22.20;25.60;4.00;0.00;366
27/7/2011;91.00;26.60;21.20;24.30;3.50;0.00;307
28/7/2011;82.00;33.60;18.40;25.30;1.20;3.30;552
29/7/2011;78.00;31.80;21.00;26.10;6.00;0.00;560
30/7/2011;83.00;32.00;21.80;24.50;3.00;0.00;519
31/7/2011;75.00;29.20;20.40;25.50;4.50;0.00;664
1/8/2011;81.00;29.80;20.00;25.00;5.00;0.00;501
2/8/2011;78.00;28.60;21.40;24.90;3.80;0.00;465
3/8/2011;76.00;31.60;20.40;25.70;5.50;0.00;755
4/8/2011;84.00;28.80;21.20;25.50;3.30;0.00;456
5/8/2011;80.00;28.80;22.20;25.20;7.00;0.00;416
6/8/2011;78.00;30.60;22.20;25.30;4.30;0.00;369
7/8/2011;80.00;31.60;20.80;25.40;6.00;0.00;450
8/8/2011;79.00;31.60;22.40;26.00;6.00;0.00;555
9/8/2011;83.00;31.00;21.80;26.00;5.30;0.00;400
10/8/2011;78.00;29.80;21.20;25.70;4.30;0.00;474
11/8/2011;80.00;30.20;22.00;25.30;4.00;0.00;474
12/8/2011;85.00;28.40;20.60;24.40;4.50;0.00;468
13/8/2011;79.00;31.20;21.60;25.50;4.00;0.00;425
14/8/2011;76.00;32.20;20.20;25.30;9.00;0.00;439
15/8/2011;79.00;32.00;20.60;26.00;5.60;0.00;631
16/8/2011;80.00;29.60;21.00;25.10;3.00;0.00;433
17/8/2011;80.00;30.00;19.00;23.90;5.80;0.00;760
18/8/2011;80.00;26.60;21.40;24.30;2.50;0.00;333
19/8/2011;79.00;31.40;20.80;24.90;5.70;0.00;606
20/8/2011;79.00;31.40;20.60;24.50;5.40;0.00;576
21/8/2011;78.00;28.00;20.80;24.90;3.00;0.00;413
22/8/2011;80.00;29.20;20.80;24.00;4.00;0.00;673
23/8/2011;82.00;32.00;21.60;25.10;6.00;0.00;762
24/8/2011;77.00;32.20;21.80;25.50;6.50;0.00;436
25/8/2011;80.00;29.60;21.60;24.30;4.20;0.00;442
26/8/2011;81.00;29.00;20.80;24.40;5.10;0.00;712
27/8/2011;80.00;31.60;22.00;26.00;8.70;0.00;646
28/8/2011;78.00;32.40;22.00;25.30;9.40;0.00;712
29/8/2011;82.00;29.80;21.00;24.30;3.50;0.00;712
30/8/2011;82.00;28.00;20.60;24.40;2.30;0.50;395
31/8/2011;82.00;27.60;21.90;24.60;3.30;0.00;517
1/9/2011;75.00;32.80;21.60;26.20;8.00;0.00;645
2/9/2011;78.00;32.60;19.00;25.10;6.10;0.00;726
3/9/2011;86.00;28.80;20.80;24.10;5.00;0.00;768
4/9/2011;78.00;29.60;20.40;24.30;5.00;0.00;615
5/9/2011;80.00;32.80;20.00;25.00;7.60;0.00;931
6/9/2011;79.00;30.00;20.40;24.00;4.10;0.00;547
7/9/2011;78.00;33.20;18.60;24.70;10.00;0.00;1008
8/9/2011;81.00;27.40;21.20;23.00;3.00;0.00;637
9/9/2011;86.00;27.60;20.20;23.60;2.80;0.00;359
10/9/2011;75.00;31.00;18.40;24.90;6.00;0.00;656
11/9/2011;78.00;32.60;18.60;24.90;10.00;0.00;1028
12/9/2011;77.00;30.80;21.00;25.00;5.90;0.00;546
13/9/2011;82.00;30.00;19.20;25.00;5.00;0.10;580
14/9/2011;78.00;31.00;22.00;25.90;4.50;0.00;612
15/9/2011;77.00;32.40;20.20;25.30;8.70;0.00;832
16/9/2011;80.00;32.20;19.00;25.00;7.00;0.00;784
17/9/2011;78.00;30.00;19.20;24.70;3.90;0.00;526
18/9/2011;78.00;32.80;20.00;24.00;6.00;0.00;534
19/9/2011;77.00;28.60;21.60;24.40;3.80;0.00;553
20/9/2011;82.00;28.40;20.60;25.00;3.70;0.00;406
21/9/2011;78.00;31.20;20.60;25.90;5.80;0.00;545
22/9/2011;77.00;30.40;20.60;26.10;4.30;0.00;529
23/9/2011;80.00;34.60;21.20;25.80;7.00;0.00;720
24/9/2011;78.00;32.20;21.40;24.50;8.00;0.00;814
25/9/2011;78.00;29.40;20.80;25.50;5.40;0.00;506
26/9/2011;76.00;31.80;21.20;26.00;6.30;0.00;700
27/9/2011;80.00;32.60;22.20;26.70;5.00;0.00;547
28/9/2011;78.00;29.80;22.60;25.40;4.00;0.00;665
29/9/2011;79.00;29.60;21.60;24.80;5.30;0.00;665
30/9/2011;78.00;33.00;18.00;25.20;8.00;0.00;605
1/10/2011;78.00;32.00;21.00;25.50;8.00;0.00;801
2/10/2011;80.00;30.60;21.40;24.30;4.00;0.00;459
3/10/2011;80.00;32.00;20.60;26.00;6.00;0.00;798
4/10/2011;79.00;33.00;21.00;25.60;6.00;0.00;880
5/10/2011;82.00;26.80;21.40;24.10;4.00;0.00;640
6/10/2011;83.00;26.80;20.40;24.10;3.10;0.00;362
7/10/2011;79.00;30.60;21.80;25.80;5.00;0.00;671
8/10/2011;76.00;30.00;20.00;25.30;6.00;0.00;770
9/10/2011;75.00;30.80;19.20;25.00;9.00;0.00;925
10/10/2011;80.00;27.00;20.20;23.00;4.00;0.00;705
11/10/2011;79.00;31.00;20.40;24.40;7.60;0.00;1057
12/10/2011;87.00;24.60;19.20;21.80;4.00;0.00;810
13/10/2011;83.00;26.20;19.60;23.00;4.00;0.00;553
14/10/2011;80.00;30.00;19.80;23.50;4.00;0.00;888
15/10/2011;79.00;27.80;19.60;23.50;5.80;0.00;652
16/10/2011;82.00;31.60;20.00;24.80;8.00;0.00;818
17/10/2011;79.00;29.80;20.60;24.00;7.00;0.00;737
18/10/2011;76.00;30.00;19.80;24.90;6.30;0.00;545
19/10/2011;74.00;33.00;18.60;25.20;7.50;0.00;682
20/10/2011;82.00;31.40;20.00;26.00;6.00;0.00;788
21/10/2011;76.00;31.20;21.20;25.50;5.00;0.00;480
22/10/2011;78.00;30.20;21.40;25.10;5.00;0.00;514
